product_id,category,product_name,location_id,year,month,original_value,original_unit,original_currency,price_mad,price_usd,price_real_mad,confidence,precision,collection_method,source_id
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2001,,84.3300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2002,,86.0600,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2003,,91.9400,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2004,,95.0100,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2005,,101.5200,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2006,,104.6600,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2007,,120.9400,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2008,,131.3600,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2009,,115.8400,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2010,,114.1600,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2011,,118.0000,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2012,,116.8600,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2013,,117.3200,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2014,,106.9200,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2015,,91.5800,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2016,,101.5000,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2017,,98.2100,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2018,,100.2300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2019,,102.3500,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2020,,110.2100,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2021,,118.6700,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2021,,378.3000,USD/tonne,USD,3.4009,0.3783,3.2615,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2021,,3400.0000,MAD/tonne,MAD,3.4000,0.3782,3.2606,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2022,,344.5000,USD/tonne,USD,3.5001,0.3445,3.1471,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2022,,122.1600,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2022,,3500.0000,MAD/tonne,MAD,3.5000,0.3445,3.1470,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2023,,3228.0000,MAD/tonne,MAD,3.2280,0.3187,2.7358,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2023,,112.6700,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2023,,318.6000,USD/tonne,USD,3.2274,0.3186,2.7353,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2024,,132.6300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2024,,382.2000,USD/tonne,USD,3.8029,0.3822,3.1916,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2024,,3800.0000,MAD/tonne,MAD,3.8000,0.3819,3.1892,official,exact,file_download,FAOSTAT
CEREAL-RICE-ROUND,Cereals,Rice,MA-NATIONAL,2025,,139.4800,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-WHEAT-SOFT,Cereals,Soft Wheat,MA-NATIONAL,1991,,2350.0000,MAD/tonne,MAD,2.3500,0.2698,4.1597,official,exact,file_download,FAOSTAT
CEREAL-WHEAT-SOFT,Cereals,Soft Wheat,MA-NATIONAL,1991,,269.9000,USD/tonne,USD,2.3508,0.2699,4.1612,official,exact,file_download,FAOSTAT
CEREAL-WHEAT-SOFT,Cereals,Soft Wheat,MA-NATIONAL,1991,,93.6300,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-WHEAT-SOFT,Cereals,Soft Wheat,MA-NATIONAL,1992,,107.5700,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-WHEAT-SOFT,Cereals,Soft Wheat,MA-NATIONAL,1992,,316.2000,USD/tonne,USD,2.7003,0.3162,4.5204,official,exact,file_download,FAOSTAT
CEREAL-WHEAT-SOFT,Cereals,Soft Wheat,MA-NATIONAL,1992,,2700.0000,MAD/tonne,MAD,2.7000,0.3162,4.5198,official,exact,file_download,FAOSTAT
CEREAL-WHEAT-SOFT,Cereals,Soft Wheat,MA-NATIONAL,1993,,293.6000,USD/tonne,USD,2.7305,0.2936,4.3456,official,exact,file_download,FAOSTAT
CEREAL-WHEAT-SOFT,Cereals,Soft Wheat,MA-NATIONAL,1993,,2730.0000,MAD/tonne,MAD,2.7300,0.2935,4.3448,official,exact,file_download,FAOSTAT
CEREAL-WHEAT-SOFT,Cereals,Soft Wheat,MA-NATIONAL,1993,,108.7600,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-WHEAT-SOFT,Cereals,Soft Wheat,MA-NATIONAL,1994,,95.2200,index_point,index,,,,estimated,exact,file_download,FAOSTAT
CEREAL-WHEAT-SOFT,Cereals,Soft Wheat,MA-NATIONAL,1994,,2390.0000,MAD/tonne,MAD,2.3900,0.2598,3.6177,official,exact,file_download,FAOSTAT
CEREAL-WHEAT-SOFT,Cereals,Soft Wheat,MA-NATIONAL,1994,,259.7000,USD/tonne,USD,2.3892,0.2597,3.6165,official,exact,file_download,FAOSTAT
